Channel/Home Team,Game
BKN,DET @ BKN
TOR,UTA @ TOR
CHI,CLE @ CHI
OKC,LAL @ OKC
DAL,SAS @ DAL
GSW,POR @ GSW
SAC,MIN @ SAC
ESPN,MIL @ NYK
ABC/ESPN,GSW @ DEN
ABC/ESPN,BOS @ LAL
ESPN,PHI @ MIA
ESPN,DAL @ PHX
DET,BKN @ DET
WAS,ORL @ WAS
CHI,ATL @ CHI
NBA TV,IND @ HOU
NOP,MEM @ NOP
OKC,MIN @ OKC
SAS,UTA @ SAS
POR,SAC @ POR
NBA TV,CHA @ LAC
ORL,PHI @ ORL
NBA TV,TOR @ WAS
BKN,MIL @ BKN
HOU,PHX @ HOU
OKC,NYK @ OKC
DAL,CLE @ DAL
NBA TV,DET @ BOS
CHI,IND @ CHI
MIN,DAL @ MIN
NOP,UTA @ NOP
DEN,MEM @ DEN
NBA TV,MIA @ GSW
POR,SAS @ POR
LAL,CHA @ LAL
ORL,NYK @ ORL
WAS,BKN @ WAS
ATL,SAC @ ATL
BOS,TOR @ BOS
NBA TV,MIL @ CLE
HOU,PHI @ HOU
DEN,OKC @ DEN
PHX,CHA @ PHX
POR,SAS @ POR
NBA TV,MEM @ LAC
UTA,MIA @ UTA
DET,TOR @ DET
IND,NYK @ IND
CHI,PHI @ CHI
MIN,LAL @ MIN
GSW,DAL @ GSW
WAS,ATL @ WAS
NOP,LAL @ NOP
OKC,BKN @ OKC
SAS,BOS @ SAS
MEM,SAC @ MEM
PHX,ORL @ PHX
NBA TV,MIN @ NYK
TOR,CLE @ TOR
HOU,DET @ HOU
MIL,IND @ MIL
DEN,CHA @ DEN
PHX,POR @ PHX
UTA,DAL @ UTA
LAC,MIA @ LAC
NBA TV,CHI @ PHI
MEM,SAS @ MEM
NOP,BKN @ NOP
OKC,BOS @ OKC
NBA TV,ORL @ GSW
SAC,CHA @ SAC
CLE,WAS @ CLE
IND,MIL @ IND
ATL,OKC @ ATL
HOU,BKN @ HOU
MEM,TOR @ MEM
MIN,NOP @ MIN
ABC,CHI @ NYK
DAL,POR @ DAL
PHX,LAC @ PHX
UTA,DET @ UTA
ESPN,MIA @ LAL
SAC,ORL @ SAC
TNT,MIL @ SAS
TNT,DEN @ GSW
BOS,UTA @ BOS
IND,ATL @ IND
BKN,OKC @ BKN
CLE,WAS @ CLE
ESPN,NYK @ PHI
CHI,CHA @ CHI
HOU,MIN @ HOU
NOP,LAC @ NOP
DAL,POR @ DAL
DEN,ORL @ DEN
PHX,MIA @ PHX
GSW,DET @ GSW
ESPN,MEM @ LAL
SAC,TOR @ SAC
IND,BOS @ IND
WAS,NYK @ WAS
PHI,UTA @ PHI
HOU,MIL @ HOU
CLE,SAS @ CLE
BKN,POR @ BKN
ORL,ATL @ ORL
SAC,NOP @ SAC
DAL,MIN @ DAL
DEN,DET @ DEN
PHX,MEM @ PHX
GSW,TOR @ GSW
LAL,LAC @ LAL
CHA,CHI @ CHA
IND,BOS @ IND
WAS,OKC @ WAS
MIA,HOU @ MIA
MIL,UTA @ MIL
NBA TV,PHX @ LAC
DET,SAC @ DET
ORL,MIN @ ORL
NYK,POR @ NYK
NBA TV,MEM @ DAL
LAL,TOR @ LAL
BOS,MIN @ BOS
CHA,SAC @ CHA
DET,SAS @ DET
IND,WAS @ IND
ATL,PHI @ ATL
MIA,OKC @ MIA
CHI,HOU @ CHI
ABC,NOP @ GSW
ESPN,DEN @ UTA
LAC,TOR @ LAC
NBA TV,BKN @ CLE
TNT,BOS @ MIL
OKC,POR @ OKC
DAL,NYK @ DAL
TNT,PHX @ LAL
PHI,SAC @ PHI
ATL,IND @ ATL
ESPN,HOU @ DET
MIA,ORL @ MIA
CHI,GSW @ CHI
MEM,LAC @ MEM
MIN,POR @ MIN
ESPN,CHA @ SAS
UTA,TOR @ UTA
DEN,NOP @ DEN
BOS,HOU @ BOS
ATL,WAS @ ATL
MEM,NYK @ MEM
NBA TV,GSW @ MIL
OKC,ORL @ OKC
DAL,NOP @ DAL
SAS,CHI @ SAS
UTA,LAL @ UTA
DEN,IND @ DEN
MIA,CHA @ MIA
MIL,SAC @ MIL
MIN,LAC @ MIN
POR,PHX @ POR
NBA TV,HOU @ PHI
DAL,NOP @ DAL
NYK,ORL @ NYK
WAS,DET @ WAS
TNT,SAS @ ATL
TNT,GSW @ MEM
CLE,CHI @ CLE
BKN,MIA @ BKN
TOR,BOS @ TOR
UTA,IND @ UTA
NBA TV,OKC @ LAL
TNT,DEN @ PHI
PHX,SAC @ PHX
TNT,OKC @ LAC
DET,MIN @ DET
ATL,ORL @ ATL
BOS,SAS @ BOS
ESPN,MIL @ CLE
NYK,HOU @ NYK
TOR,MIA @ TOR
NOP,CHA @ NOP
ABC,DAL @ LAL
POR,BKN @ POR
NYK,WAS @ NYK
TNT,CHI @ TOR
UTA,OKC @ UTA
TNT,MEM @ MIN
SAC,IND @ SAC
CHA,SAS @ CHA
ORL,PHI @ ORL
ESPN,DEN @ BOS
MIA,ATL @ MIA
NOP,PHX @ NOP
POR,IND @ POR
LAL,BKN @ LAL
DET,MIL @ DET
CHA,PHI @ CHA
WAS,SAS @ WAS
ATL,CLE @ ATL
NYK,TOR @ NYK
CHI,MEM @ CHI
HOU,UTA @ HOU
MIN,OKC @ MIN
LAC,BKN @ LAC
ORL,MIA @ ORL
WAS,DEN @ WAS
HOU,BOS @ HOU
PHX,IND @ PHX
LAL,POR @ LAL
DET,MIL @ DET
ORL,CLE @ ORL
NBA TV,SAS @ PHI
TOR,MEM @ TOR
MIN,CHA @ MIN
DAL,BOS @ DAL
PHX,CHI @ PHX
IND,DEN @ IND
TNT,NYK @ BKN
NOP,UTA @ NOP
OKC,POR @ OKC
TNT,LAL @ LAC
DET,CHA @ DET
WAS,MIN @ WAS
MIA,MEM @ MIA
HOU,POR @ HOU
MIL,CLE @ MIL
ESPN,PHX @ DAL
ABC,OKC @ SAS
GSW,ATL @ GSW
IND,PHI @ IND
WAS,UTA @ WAS
BKN,MIN @ BKN
TNT,BOS @ MIA
NYK,DEN @ NYK
TNT,SAC @ GSW
LAL,CHI @ LAL
NBA TV,DAL @ ATL
CHA,HOU @ CHA
IND,PHX @ IND
TOR,LAC @ TOR
MEM,ORL @ MEM
MIL,CLE @ MIL
NOP,OKC @ NOP
NBA TV,POR @ SAS
DET,WAS @ DET
ABC,MIA @ NYK
ABC,PHI @ DEN
BKN,HOU @ BKN
BOS,LAC @ BOS
CHA,UTA @ CHA
MIL,NOP @ MIL
SAS,MIN @ SAS
ABC,LAL @ GSW
DAL,SAC @ DAL
DET,OKC @ DET
IND,MEM @ IND
ATL,TOR @ ATL
ORL,PHX @ ORL
POR,CHI @ POR
CHA,NYK @ CHA
CLE,LAC @ CLE
BOS,NOP @ BOS
BKN,UTA @ BKN
NBA TV,PHX @ MIA
HOU,LAL @ HOU
MEM,SAC @ MEM
OKC,MIN @ OKC
SAS,WAS @ SAS
DAL,ORL @ DAL
DEN,MIL @ DEN
NBA TV,PHI @ POR
ATL,LAL @ ATL
TNT,IND @ BOS
NYK,UTA @ NYK
CHI,TOR @ CHI
TNT,PHI @ GSW
CHA,CHI @ CHA
CLE,DET @ CLE
WAS,LAC @ WAS
MIA,SAC @ MIA
HOU,NOP @ HOU
MIN,DAL @ MIN
SAS,ORL @ SAS
OKC,DEN @ OKC
ABC,PHX @ BKN
ESPN,MIL @ POR
TNT,LAL @ BOS
NYK,IND @ NYK
MEM,CLE @ MEM
TNT,PHI @ UTA
DET,LAC @ DET
WAS,MIA @ WAS
ATL,PHX @ ATL
IND,SAC @ IND
HOU,TOR @ HOU
NBA TV,GSW @ MEM
MIN,ORL @ MIN
OKC,CHA @ OKC
SAS,NOP @ SAS
DEN,POR @ DEN
PHI,BKN @ PHI
ATL,GSW @ ATL
CHI,SAC @ CHI
ABC,LAL @ NYK
DAL,MIL @ DAL
SAS,CLE @ SAS
DET,ORL @ DET
NBA TV,PHX @ WAS
BOS,MEM @ BOS
CHA,IND @ CHA
ESPN,LAC @ MIA
MIN,HOU @ MIN
OKC,TOR @ OKC
UTA,MIL @ UTA
NBA TV,POR @ DEN
CHA,LAL @ CHA
CLE,SAC @ CLE
PHI,DAL @ PHI
ATL,LAC @ ATL
NBA TV,GSW @ BKN
NOP,TOR @ NOP
IND,HOU @ IND
TNT,DAL @ BKN
MIA,ORL @ MIA
NYK,MEM @ NYK
CHI,MIN @ CHI
UTA,OKC @ UTA
TNT,MIL @ PHX
CHA,TOR @ CHA
WAS,CLE @ WAS
ESPN,GSW @ PHI
BOS,ATL @ BOS
MIA,SAS @ MIA
ESPN,NOP @ LAC
SAC,DET @ SAC
IND,GSW @ IND
ORL,SAS @ ORL
BKN,CLE @ BKN
TNT,DAL @ NYK
MEM,CHI @ MEM
MIL,MIN @ MIL
PHX,UTA @ PHX
TNT,DEN @ LAL
POR,DET @ POR
NBA TV,ATL @ PHI
BOS,WAS @ BOS
TOR,HOU @ TOR
MIL,CHA @ MIL
SAC,DEN @ SAC
NBA TV,NOP @ LAL
NBA TV,OKC @ DAL
LAC,DET @ LAC
BKN,SAS @ BKN
CHA,MEM @ CHA
ORL,CHI @ ORL
WAS,PHI @ WAS
ATL,HOU @ ATL
NYK,IND @ NYK
TOR,CLE @ TOR
ABC,PHX @ GSW
POR,NOP @ POR
ABC,BOS @ MIA
OKC,SAC @ OKC
CHA,IND @ CHA
CLE,PHI @ CLE
ATL,CHI @ ATL
TOR,SAS @ TOR
HOU,NYK @ HOU
MEM,NOP @ MEM
NBA TV,DEN @ MIL
DAL,WAS @ DAL
UTA,GSW @ UTA
NBA TV,MIN @ LAC
BKN,BOS @ BKN
TNT,OKC @ ORL
MIL,MIA @ MIL
TNT,SAC @ PHX
POR,MIN @ POR
LAL,DET @ LAL
CHA,ATL @ CHA
ORL,NYK @ ORL
PHI,MIA @ PHI
BOS,BKN @ BOS
ESPN,CHI @ CLE
TOR,IND @ TOR
MEM,HOU @ MEM
NOP,WAS @ NOP
DAL,SAS @ DAL
DEN,SAC @ DEN
PHX,DET @ PHX
UTA,LAL @ UTA
ESPN,LAC @ GSW
TNT,MIL @ MEM
UTA,GSW @ UTA
POR,MIN @ POR
CLE,ORL @ CLE
IND,DET @ IND
PHI,NYK @ PHI
TOR,BKN @ TOR
TNT,PHX @ DAL
CHI,BOS @ CHI
NOP,HOU @ NOP
OKC,LAC @ OKC
DEN,WAS @ DEN
UTA,CHA @ UTA
TNT,LAL @ GSW
SAC,SAS @ SAC
ATL,TOR @ ATL
ESPN,CLE @ PHI
HOU,PHX @ HOU
MEM,LAC @ MEM
OKC,WAS @ OKC
ESPN,MIA @ NOP
MIN,MIL @ MIN
GSW,CHA @ GSW
POR,DEN @ POR
LAL,SAS @ LAL
DET,ORL @ DET
ABC,BOS @ NYK
MIN,BKN @ MIN
ABC,MIL @ PHI
ABC,LAL @ PHX
IND,DAL @ IND
WAS,CLE @ WAS
ATL,ORL @ ATL
HOU,OKC @ HOU
NOP,CHI @ NOP
ESPN,DEN @ GSW
UTA,SAS @ UTA
POR,CHA @ POR
ESPN,SAC @ LAC
NBA TV,TOR @ IND
NYK,DET @ NYK
MEM,BKN @ MEM
NBA TV,MIA @ SAC
CLE,DAL @ CLE
ORL,BKN @ ORL
WAS,GSW @ WAS
ATL,UTA @ ATL
TNT,PHI @ BOS
NYK,NOP @ NYK
MIN,SAS @ MIN
CHI,DET @ CHI
MIL,CHA @ MIL
TNT,HOU @ OKC
POR,MIA @ POR
IND,NOP @ IND
TOR,DAL @ TOR
ESPN,MEM @ MIN
CHI,CLE @ CHI
DEN,SAC @ DEN
ESPN,LAL @ LAC
CHA,MIL @ CHA
ORL,UTA @ ORL
BKN,ATL @ BKN
TNT,GSW @ NYK
SAS,OKC @ SAS
PHX,HOU @ PHX
TNT,MIA @ DEN
LAL,WAS @ LAL
DET,CLE @ DET
PHI,CHA @ PHI
ESPN,DAL @ BOS
TOR,GSW @ TOR
MEM,POR @ MEM
MIN,SAC @ MIN
NOP,IND @ NOP
ESPN,MIL @ CHI
LAC,WAS @ LAC
BKN,ATL @ BKN
NBA TV,UTA @ MIA
MEM,POR @ MEM
ABC,DEN @ LAL
PHX,HOU @ PHX
ABC,PHI @ DAL
ABC,GSW @ BOS
MIN,LAC @ MIN
ORL,DET @ ORL
TOR,CHA @ TOR
ESPN,NYK @ CLE
SAS,IND @ SAS
ESPN,OKC @ PHX
BKN,MEM @ BKN
NBA TV,LAC @ MIL
MIN,POR @ MIN
UTA,WAS @ UTA
SAC,CHI @ SAC
NBA TV,OKC @ LAL
CHA,ORL @ CHA
CLE,BOS @ CLE
BKN,PHI @ BKN
MIA,DET @ MIA
TNT,ATL @ NYK
TOR,NOP @ TOR
HOU,SAS @ HOU
DAL,IND @ DAL
TNT,PHX @ DEN
WAS,ORL @ WAS
ATL,CLE @ ATL
ESPN,MEM @ PHI
HOU,LAC @ HOU
UTA,CHI @ UTA
ESPN,MIL @ GSW
POR,OKC @ POR
LAL,SAC @ LAL
DET,BKN @ DET
IND,MIN @ IND
TNT,MIA @ DAL
PHX,TOR @ PHX
TNT,BOS @ DEN
GSW,CHI @ GSW
SAC,SAS @ SAC
PHI,NOP @ PHI
WAS,CHA @ WAS
CLE,MIN @ CLE
NYK,ORL @ NYK
ESPN,ATL @ MEM
OKC,MIA @ OKC
ESPN,MIL @ LAL
POR,HOU @ POR
LAC,CHI @ LAC
CHA,BKN @ CHA
DET,DAL @ DET
ABC,BOS @ PHX
